Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2011-08-25,19.25,19.35,18.5,18.6,18.8130800415,89541.0,506.0,1684542.0,32503.0,36.3,0.85,-0.65
2011-08-26,18.65,19.25,18.05,18.15,18.4462889854,151980.0,521.0,2803467.0,78506.0,51.66,1.2,-0.5
2011-08-29,18.65,19.15,18.55,18.65,18.8046784493,107899.0,342.0,2029006.0,32287.0,29.92,0.6,0.0
2011-08-30,19.2,19.4,18.6,19.05,19.0142248065,128297.0,380.0,2439468.0,64778.0,50.49,0.8,-0.15
2011-09-02,19.4,19.4,18.8,19.0,19.0515082866,75483.0,332.0,1438065.0,24507.0,32.47,0.6,-0.4
2011-09-05,18.6,18.9,18.6,18.75,18.7826731604,101842.0,306.0,1912865.0,55742.0,54.73,0.3,0.15
2011-09-06,18.7,18.9,18.45,18.7,18.7249475259,79563.0,270.0,1489813.0,31650.0,39.78,0.45,0.0
2011-09-07,18.5,19.05,18.2,18.7,18.6501250589,386218.0,1141.0,7203014.0,148600.0,38.48,0.85,0.2
2011-09-08,18.7,19.25,18.65,19.05,19.0078434223,178876.0,505.0,3400047.0,53086.0,29.68,0.6,0.35
2011-09-09,19.0,19.15,18.5,18.55,18.8157035684,116101.0,273.0,2184522.0,66389.0,57.18,0.65,-0.45
2011-09-12,18.3,18.5,18.05,18.1,18.2364008552,109915.0,422.0,2004454.0,64599.0,58.77,0.45,-0.2
2011-09-13,18.5,18.5,18.05,18.1,18.306314487,100214.0,302.0,1834549.0,36614.0,36.54,0.45,-0.4
2011-09-14,18.1,19.0,18.05,18.6,18.5458401511,142397.0,395.0,2640872.0,60833.0,42.72,0.95,0.5
2011-09-15,19.0,19.35,18.75,19.05,19.015753258,332947.0,968.0,6331238.0,128136.0,38.49,0.6,0.05
2011-09-16,19.5,19.8,18.6,19.35,19.2748821327,430781.0,1360.0,8303253.0,142773.0,33.14,1.2,-0.15
2011-09-19,19.5,19.5,18.85,18.9,19.0353077964,110089.0,327.0,2095578.0,54187.0,49.22,0.65,-0.6
2011-09-20,18.9,19.25,18.4,19.1,18.8889924875,243461.0,721.0,4598733.0,89612.0,36.81,0.85,0.2
2011-09-21,19.5,21.4,19.5,21.0,20.6783125973,1945973.0,5156.0,40239438.0,399953.0,20.55,1.9,1.5
2011-09-22,21.1,21.1,19.6,19.8,20.2501716876,786312.0,1904.0,15922953.0,273797.0,34.82,1.5,-1.3
2011-09-23,19.0,19.5,18.7,18.9,18.9502933775,504299.0,1317.0,9556614.0,190136.0,37.7,0.8,-0.1
2011-09-26,19.0,19.35,18.5,18.65,18.745009703,203545.0,765.0,3815453.0,78793.0,38.71,0.85,-0.35
2011-09-27,19.4,19.4,18.75,18.85,18.9264754776,105271.0,348.0,1992409.0,38504.0,36.58,0.65,-0.55
2011-09-28,18.9,19.0,18.45,18.55,18.6557191614,153825.0,481.0,2869716.0,74640.0,48.52,0.55,-0.35
2011-09-29,18.55,18.75,18.35,18.65,18.5874515535,76631.0,281.0,1424375.0,37706.0,49.2,0.4,0.1
2011-09-30,19.05,19.7,18.95,19.45,19.3230630749,518812.0,1272.0,10025037.0,124966.0,24.09,0.75,0.4
2011-10-03,19.15,19.65,18.8,19.3,19.1278707154,151356.0,417.0,2895118.0,50954.0,33.67,0.85,0.15
2011-10-04,19.25,19.45,18.6,18.65,18.9173204314,132693.0,417.0,2510196.0,56759.0,42.77,0.85,-0.6
2011-10-05,18.8,19.25,18.65,18.7,18.845097383,74705.0,341.0,1407823.0,26777.0,35.84,0.6,-0.1
2011-10-07,19.1,19.7,18.75,19.5,19.2273517104,266455.0,745.0,5123224.0,100850.0,37.85,0.95,0.4
2011-10-10,18.7,20.0,18.7,19.6,19.6443474105,152753.0,553.0,3000733.0,56222.0,36.81,1.3,0.9
2011-10-11,19.95,20.25,19.6,19.75,19.9219689435,269444.0,862.0,5367855.0,96889.0,35.96,0.65,-0.2
2011-10-12,19.75,20.05,19.55,19.9,19.8093603232,140102.0,505.0,2775331.0,37214.0,26.56,0.5,0.15
2011-10-13,19.95,20.6,19.7,20.1,20.209451553,287995.0,1009.0,5820221.0,65980.0,22.91,0.9,0.15
2011-10-14,20.1,20.4,19.9,20.05,20.1078836382,69473.0,316.0,1396955.0,28735.0,41.36,0.5,-0.05
2011-10-17,20.0,20.0,19.5,19.6,19.6687256864,203333.0,562.0,3999301.0,86041.0,42.32,0.5,-0.4
2011-10-18,19.45,20.05,19.35,19.85,19.7165839216,308377.0,687.0,6080141.0,175091.0,56.78,0.7,0.4
2011-10-19,20.5,21.2,19.2,20.1,20.4333783762,1452689.0,4191.0,29683344.0,227388.0,15.65,2.0,-0.4
2011-10-20,19.5,19.7,19.25,19.3,19.4839049166,131127.0,552.0,2554866.0,44841.0,34.2,0.45,-0.2
2011-10-21,19.45,19.45,18.7,18.8,19.0261815675,101560.0,414.0,1932299.0,46497.0,45.78,0.75,-0.65
2011-10-24,19.0,19.15,18.25,18.35,18.680210892,130683.0,457.0,2441186.0,58850.0,45.03,0.9,-0.65
2011-10-25,18.5,18.6,17.85,18.3,18.1953530159,161395.0,833.0,2936639.0,70912.0,43.94,0.75,-0.2
2011-10-26,18.9,18.9,18.35,18.7,18.6230411157,53921.0,484.0,1004173.0,24282.0,45.03,0.55,-0.2
